;Namn;Beskrivning;Min;Max;Enhet;Sökväg 800xA;Sökväg till Värde
;A001203QI223;SYM223  SYREMÄTARE 0.1_15 mg/l;0;10;mg/l; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI223; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI223.In.Value
;A001209FI202;LFM202  LUFTFLÖDESMÄTARE  0_6250 m3/h;0;6000;m³/h; Applications.KF14_BioA_App.Programs.Allmänt.A001209FI202; Applications.KF14_BioA_App.Programs.Allmänt.A001209FI202.In.Value
;A001209FI221;LFM221  LUFTFLÖDESMÄTARE  0_950 m3/h;0;1000;m³/h; Applications.KF14_BioA_App.Programs.Allmänt.A001209FI221; Applications.KF14_BioA_App.Programs.Allmänt.A001209FI221.In.Value
;A001209FI222;LFM222  LUFTFLÖDESMÄTARE  0_1850 m3/h;0;2000;m³/h; Applications.KF14_BioA_App.Programs.Allmänt.A001209FI222; Applications.KF14_BioA_App.Programs.Allmänt.A001209FI222.In.Value
;A001209FI223;LFM223  LUFTFLÖDESMÄTARE  0_1850 m3/h;0;2000;m³/h; Applications.KF14_BioA_App.Programs.Allmänt.A001209FI223; Applications.KF14_BioA_App.Programs.Allmänt.A001209FI223.In.Value
x;A001203QI224;AMM-220 Ammoniummätare;0;30;mg/l; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI224; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI224.In.Value
x;A001203QI220;NIM-220 Nitratmätare;0;30;mg/l; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI220; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI220.In.Value
x;A001203QI225;SUM221  SUSP.MÄTARE 0_5 g/l;0;5;g/l; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI225; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI225.In.Value
x;A001207QI202;SUM202  SUSP.MÄTARE 0_5 g/l;0;10;g/l; Applications.KF14_BioA_App.Programs.Allmänt.A001207QI202; Applications.KF14_BioA_App.Programs.Allmänt.A001207QI202.In.Value
x;A001203FI241;KFM241  KANALFLÖDESMÄTARE 0-1000 m³/h;0;1000;m3/h; Applications.KF14_BioA_App.Programs.Allmänt.A001203FI241; Applications.KF14_BioA_App.Programs.Allmänt.A001203FI241.In.Value
