;Namn;Beskrivning;Min;Max;Enhet;Sökväg 800xA;Sökväg till Värde
;A001610QI602;GKM602 Gaskoncentrationsmätare 602;0;100;%; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610QI602; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610QI602.In.Value
;A001610QI603;GKM603 Gaskoncentrationsmätare 603;0;100;%; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610QI603; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610QI603.In.Value
;A001610PI602;GTM602 Gastrycksmätare ;0;50;MBAR; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610PI602; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610PI602.In.Value
;A001204LI010;PB604 Nivå beredningstank ;0;1;m; Applications.UC06_Slamhantering.Programs.AnalogIn.A001204LI010; Applications.UC06_Slamhantering.Programs.AnalogIn.A001204LI010.In.Value
;A001204LI020;PB604 Nivå dagstank ;0;1;m; Applications.UC06_Slamhantering.Programs.AnalogIn.A001204LI020; Applications.UC06_Slamhantering.Programs.AnalogIn.A001204LI020.In.Value
;A001602CW600;CW600 Rötslamomrörare 600 ;0;9000;kg; Applications.UC06_Slamhantering.Programs.AnalogIn.A001602CW600; Applications.UC06_Slamhantering.Programs.AnalogIn.A001602CW600.In.Value
;A001610QI604;GKM604 Gaskoncentrationsmätare 604;0;100;%; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610QI604; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610QI604.In.Value
;A001610QI605;GKM605 Gaskoncentrationsmätare 605;0;100;%; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610QI605; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610QI605.In.Value
;A001610QI607;GKM607 Gaskoncentrationsmätare 607;0;100;%; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610QI607; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610QI607.In.Value
;A001603TI610;VX601 Temperatur in;0;50;°C; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603TI610; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603TI610.In.Value
;A001603TI611;VX601 Temperatur ut;0;50;°C; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603TI611; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603TI611.In.Value
;A001006TI001;VVX1 Värmeväxlare 1 temperatur in;-30;80;°C; Applications.UC06_Slamhantering.Programs.AnalogIn.A001006TI001; Applications.UC06_Slamhantering.Programs.AnalogIn.A001006TI001.In.Value
;A001603TI612;VX602 Temperatur ut;0;50;°C; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603TI612; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603TI612.In.Value
;A001005FN621;FF21 Frånluftsfläkt;0;50;Hz; Applications.UC06_Slamhantering.Programs.AnalogIn.A001005FN621; Applications.UC06_Slamhantering.Programs.AnalogIn.A001005FN621.In.Value
;A001005FN621;FF21 Frånluftsfläkt;0;35;A; Applications.UC06_Slamhantering.Programs.AnalogIn.A001005FN621; Applications.UC06_Slamhantering.Programs.AnalogIn.A001005FN621.In.Value
;A001005TI621;FF21 Frånluftsfläkt temperatur;-35;35;°C; Applications.UC06_Slamhantering.Programs.AnalogIn.A001005TI621; Applications.UC06_Slamhantering.Programs.AnalogIn.A001005TI621.In.Value
;A001005FN611;FF22 Frånluftsfläkt;0;25;A; Applications.UC06_Slamhantering.Programs.AnalogIn.A001005FN611; Applications.UC06_Slamhantering.Programs.AnalogIn.A001005FN611.In.Value
;A001005FN611;FF22 Frånluftsfläkt ström;0;25;A; Applications.UC06_Slamhantering.Programs.AnalogIn.A001005FN611; Applications.UC06_Slamhantering.Programs.AnalogIn.A001005FN611.In.Value
;A001005TI611;FF22 Frånluftsfläkt temperatur;0;100;°C; Applications.UC06_Slamhantering.Programs.AnalogIn.A001005TI611; Applications.UC06_Slamhantering.Programs.AnalogIn.A001005TI611.In.Value
;A001005PI611;DTM 601 Difftryckmätare;0;2000;Pa; Applications.UC06_Slamhantering.Programs.AnalogIn.A001005PI611; Applications.UC06_Slamhantering.Programs.AnalogIn.A001005PI611.In.Value
;A001069PI603;VTM603 Vattentrycksmätare;0;10;bar; Applications.UC06_Slamhantering.Programs.AnalogIn.A001069PI603; Applications.UC06_Slamhantering.Programs.AnalogIn.A001069PI603.In.Value
;A001083PI601;VTM601 Vattentrycksmätare;0;10;bar; Applications.UC06_Slamhantering.Programs.AnalogIn.A001083PI601; Applications.UC06_Slamhantering.Programs.AnalogIn.A001083PI601.In.Value
;A001602LI600_2;SNM601 Slamnivåmätare 2  ;0;3;m; Applications.UC06_Slamhantering.Programs.AnalogIn.A001602LI600_2; Applications.UC06_Slamhantering.Programs.AnalogIn.A001602LI600_2.In.Value
;A001603LI603;RNM603 Rötkammarnivåmätare;6,400000095;16,39999962;m; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603LI603; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603LI603.In.Value
;A001603LI604;RNM604 Rötkammarnivåmätare;6,400000095;16,39999962;m; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603LI604; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603LI604.In.Value
;A001204PU62_;DSP604-606 Varvtal;0;60;Hz; Applications.UC06_Slamhantering.Programs.AnalogIn.A001204PU62_; Applications.UC06_Slamhantering.Programs.AnalogIn.A001204PU62_.In.Value
;A001204PU63_;DSP614-616 Varvtal;0;60;Hz; Applications.UC06_Slamhantering.Programs.AnalogIn.A001204PU63_; Applications.UC06_Slamhantering.Programs.AnalogIn.A001204PU63_.In.Value
x;A001204FI201;PFM604 Polymerflödesmätare;0;40;l/m; Applications.UC06_Slamhantering.Programs.AnalogIn.A001204FI201; Applications.UC06_Slamhantering.Programs.AnalogIn.A001204FI201.In.Value
x;A001204FI203;PFM605 Polymerflödesmätare;0;40;l/m; Applications.UC06_Slamhantering.Programs.AnalogIn.A001204FI203; Applications.UC06_Slamhantering.Programs.AnalogIn.A001204FI203.In.Value
x;A001204FI205;PFM606 Polymerflödesmätare;0;40;l/m; Applications.UC06_Slamhantering.Programs.AnalogIn.A001204FI205; Applications.UC06_Slamhantering.Programs.AnalogIn.A001204FI205.In.Value
x;A001204FI202;PFM614 Polymerflödesmätare;0;40;l/m; Applications.UC06_Slamhantering.Programs.AnalogIn.A001204FI202; Applications.UC06_Slamhantering.Programs.AnalogIn.A001204FI202.In.Value
x;A001204FI204;PFM615 Polymerflödesmätare;0;40;l/m; Applications.UC06_Slamhantering.Programs.AnalogIn.A001204FI204; Applications.UC06_Slamhantering.Programs.AnalogIn.A001204FI204.In.Value
x;A001204FI206;PFM616 Polymerflödesmätare;0;40;l/m; Applications.UC06_Slamhantering.Programs.AnalogIn.A001204FI206; Applications.UC06_Slamhantering.Programs.AnalogIn.A001204FI206.In.Value
;A001603PU601;SCP601 Slamcirkulationspump 601 Ström;0;50;A; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603PU601; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603PU601.In.Value
;A001603PU602;SCP602 Slamcirkulationspump 602 Ström;0;25;A; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603PU602; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603PU602.In.Value
;A001603PU604;SCP604 Slamcirkulationspump 604 Ström;0;25;A; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603PU604; Applications.UC06_Slamhantering.Programs.AnalogIn.A001603PU604.In.Value
x;A001610FI611;GMM-611 Gasmängdsmätare;0;500;m³/h; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610FI611; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610FI611.In.Value
x;A001610FI612;GMM-612 Gasmängdsmätare;0;500;m³/h; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610FI612; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610FI612.In.Value
;A001602PI601;Tryck sugsida PSP-601;-1;5,260000229;bar; Applications.UC06_Slamhantering.Programs.AnalogIn.A001602PI601; Applications.UC06_Slamhantering.Programs.AnalogIn.A001602PI601.In.Value
;A001610OH601;SYM-601 O2-mätare;0;25;%; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610OH601; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610OH601.In.Value
;A001613JI601;Effekt fjärrvärme till RK;0;100;0; Applications.UC06_Slamhantering.Programs.AnalogIn.A001613JI601; Applications.UC06_Slamhantering.Programs.AnalogIn.A001613JI601.In.Value
;A001602TI600;Slamtemperaturgivare 600 Förtjockare;0;100;°C; Applications.UC06_Slamhantering.Programs.AnalogIn.A001602TI600; Applications.UC06_Slamhantering.Programs.AnalogIn.A001602TI600.In.Value
;A001610QI600;GMM-601 Beräknad gasmängd fackla;0;500;m³/h; Applications.UC06_Slamhantering.Programs.Rötkammare.A001610QI600; Applications.UC06_Slamhantering.Programs.Rötkammare.A001610QI600.In.Value
;0;0;0;50;m3/h; Applications.UC06_Slamhantering.Programs.VattenJSF.A001102FI104_FB; Applications.UC06_Slamhantering.Programs.VattenJSF.A001102FI104_FB.In.Value
;A001071TI001;Temp RK markplan;-20;50;°C; Applications.UC06_Ventilation.Programs.AnalogIn.A001071TI001; Applications.UC06_Ventilation.Programs.AnalogIn.A001071TI001.In.Value
;A001071TI002;Temp RK trapphus;-20;50;°C; Applications.UC06_Ventilation.Programs.AnalogIn.A001071TI002; Applications.UC06_Ventilation.Programs.AnalogIn.A001071TI002.In.Value
;A001209PI201;Tryckgivare;0;1;bar; Applications.UC13_Blåsmaskin.Programs.Blåsmaskiner.A001209PI201; Applications.UC13_Blåsmaskin.Programs.Blåsmaskiner.A001209PI201.In.Value
;A004401LI401;NG-401 Pumpbrunn Nivå LI401;0;2,5;m; Applications.UC17_MungaBDTApp.Programs.Pumpbrunn.A004401LI401; Applications.UC17_MungaBDTApp.Programs.Pumpbrunn.A004401LI401.In.Value
x;A004104FI101;IFM-101 Inkommande Flöde;0;100;m³/h; Applications.UC17_MungaBDTApp.Programs.Inkommande vatten.A004104FI101; Applications.UC17_MungaBDTApp.Programs.Inkommande vatten.A004104FI101.In.Value
x;A004404FI401;UFM-401 Utgående Flöde;0;30;m³/h; Applications.UC17_MungaBDTApp.Programs.Utgående vatten.A004404FI401; Applications.UC17_MungaBDTApp.Programs.Utgående vatten.A004404FI401.In.Value
x;A001092AQ900;Biobassängflöde tot;0;100;0; Applications.KF04_Bio_App.Programs.Biobassängblock_UC4.A001092AQ900; Applications.KF04_Bio_App.Programs.Biobassängblock_UC4.A001092AQ900.In
x;A001202AQ904;Ber MAbrädd tot;0;100;m³/h; Applications.KF04_Bio_App.Programs.Biobassängblock_UC4.A001202AQ904; Applications.KF04_Bio_App.Programs.Biobassängblock_UC4.A001202AQ904.In
x;A001059AQ901;BER BräddningTeoretisk MA;0;100;0; Applications.KF04_Bio_App.Programs.Biobassängblock_UC4.A001059AQ901; Applications.KF04_Bio_App.Programs.Biobassängblock_UC4.A001059AQ901.In
x;A001059AQ903;Ber MAbrädd tot;0;100;m³/h; Applications.KF04_Bio_App.Programs.Biobassängblock_UC4.A001059AQ903; Applications.KF04_Bio_App.Programs.Biobassängblock_UC4.A001059AQ903.In
;A001203QQ213;Amonium Zon214;0;100;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ213; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ213.In
;A001203QQ214;Nitrat Zon214;0;100;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ214; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ214.In
;A001203QQ215;Amonium Zon215;0;100;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ215; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ215.In
;A001203QQ216;Nitrat Zon215;0;100;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ216; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ216.In
;A001203QQ223;Amonium Zon224;0;100;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ223; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ223.In
;A001203QQ224;Nitrat Zon224;0;100;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ224; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ224.In
;A001203QQ225;Amonium Zon225;0;100;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ225; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ225.In
;A001203QQ226;Nitrat Zon225;0;100;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ226; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ226.In
;A001203QQ233;Amonium Zon234;0;100;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ233; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ233.In
;A001203QQ234;Nitrat Zon234;0;100;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ234; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ234.In
;A001203QQ235;Amonium Zon235;0;100;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ235; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ235.In
;A001203QQ236;Nitrat Zon235;0;100;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ236; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ236.In
;A001203QQ243;Amonium Zon244;0;100;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ243; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ243.In
;A001203QQ244;Nitrat Zon244;0;100;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ244; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ244.In
;A001203QQ245;Amonium Zon245;0;100;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ245; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ245.In
;A001203QQ246;Nitrat Zon245;0;100;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ246; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ246.In
;A001203QQ253;Amonium Zon254;0;100;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ253; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ253.In
;A001203QQ254;Nitrat Zon254;0;100;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ254; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ254.In
;A001203QQ255;Amonium Zon255;0;100;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ255; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ255.In
;A001203QQ256;Nitrat Zon255;0;100;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ256; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ256.In
;A001203QQ263;Amonium Zon264;0;100;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ263; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ263.In
;A001203QQ264;Nitrat Zon264;0;100;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ264; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ264.In
;A001203QQ265;Amonium Zon265;0;100;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ265; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ265.In
;A001203QQ266;Nitrat Zon265;0;100;mg/l; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ266; Applications.KF14_Bio_Prov.Programs.Provventiler.A001203QQ266.In
x;A001099LQ001;NBM201  Nederbördsmätare 201;0;100;mm; Applications.KF14_BioA_App.Programs.Nederbörd.A001099LQ001; Applications.KF14_BioA_App.Programs.Nederbörd.A001099LQ001.In
x;A001092AQ900;BER KanalflödenSummering;0;16000;m3/h; Applications.KF15_BioB_App.Programs.Allmänt.A001092AQ900; Applications.KF15_BioB_App.Programs.Allmänt.A001092AQ900.In
;A001092AQ902;BER MedelsuspB;0;100;0; Applications.KF15_BioB_App.Programs.Allmänt.A001092AQ902; Applications.KF15_BioB_App.Programs.Allmänt.A001092AQ902.In
;A001092AQ904;BER ReturslamflödeB;0;100;0; Applications.KF15_BioB_App.Programs.Allmänt.A001092AQ904; Applications.KF15_BioB_App.Programs.Allmänt.A001092AQ904.In
;A001092AQ912;BER SlamålderB;0;100;0; Applications.KF15_BioB_App.Programs.Allmänt.A001092AQ912; Applications.KF15_BioB_App.Programs.Allmänt.A001092AQ912.In
;A002051FI001;S Vattenförbrukning;0;10000;m3; Applications.KF18.Programs.Allmänt.A002051FI001; Applications.KF18.Programs.Allmänt.A002051FI001.In
;A002301LI301V;S PAX Volym tank;0;13,14400005;m3; Applications.KF18.Programs.Kemisk.A002301LI301V; Applications.KF18.Programs.Kemisk.A002301LI301V.In
;A002102PU101;S DSP101 Dos pump järn;0;100;ml/min; Applications.KF18.Programs.Kemisk.A002102PU101.A002102PU101; Applications.KF18.Programs.Kemisk.A002102PU101.A002102PU101.In
;A002102PU102;S DSP102 Dos pump järn;0;100;ml/min; Applications.KF18.Programs.Kemisk.A002102PU102.A002102PU102; Applications.KF18.Programs.Kemisk.A002102PU102.A002102PU102.In
;A002106LI101_CV;S MBM101 Flöde Bräddning;0;2667;m3/h; Applications.KF18.Programs.Förbehand.A002106LI101_CV; Applications.KF18.Programs.Förbehand.A002106LI101_CV.In
;A001051JQ001;Tot Energi mätn 1;0;1000000;0; Applications.UC01_Pumpstation.Programs.Allmänt.A001051JQ001.A001051JQ001; Applications.UC01_Pumpstation.Programs.Allmänt.A001051JQ001.A001051JQ001.In
;0;0;0;100;0; Applications.UC01_Pumpstation.Programs.Allmänt.KeyPQ_QV_FB; Applications.UC01_Pumpstation.Programs.Allmänt.KeyPQ_QV_FB.In
x;A001104FQ104;MIV104 Totalt flöde i l/s;0;4444,439941;l/s; Applications.UC01_Pumpstation.Programs.AnalogIn.A001104FQ104; Applications.UC01_Pumpstation.Programs.AnalogIn.A001104FQ104.In
x;A001104FQ110;MBG101 Mängd bräddat grovrens;0;2000;m³/h; Applications.UC01_Pumpstation.Programs.AnalogIn.A001104FQ110; Applications.UC01_Pumpstation.Programs.AnalogIn.A001104FQ110.In
x;A001053AQ900;BER Järndosering;0;100;0; Applications.UC01_Pumpstation.Programs.AnalogIn.A001053AQ900; Applications.UC01_Pumpstation.Programs.AnalogIn.A001053AQ900.In
;A001051JI001;Effekt Slammavvattningen;0;100;0; Applications.UC01_Pumpstation.Programs.AnalogIn.A001051JI001; Applications.UC01_Pumpstation.Programs.AnalogIn.A001051JI001.In
;A001051JI002;Effekt Rötkammaren;0;100;0; Applications.UC01_Pumpstation.Programs.AnalogIn.A001051JI002; Applications.UC01_Pumpstation.Programs.AnalogIn.A001051JI002.In
;A001104CV121;COS101 Containerskruv 101;0;5;A; Applications.UC02_Renshantering.Programs.Grovrening.A001104CV121.A001104CV121; Applications.UC02_Renshantering.Programs.Grovrening.A001104CV121.A001104CV121.In
;A001104CV122;COS102 Containerskruv 102;0;5;A; Applications.UC02_Renshantering.Programs.Grovrening.A001104CV122.A001104CV122; Applications.UC02_Renshantering.Programs.Grovrening.A001104CV122.A001104CV122.In
;0;0;0;100;0; Applications.UC02_Renshantering.Programs.Grovrening.A001104CV101_Spänning_FB; Applications.UC02_Renshantering.Programs.Grovrening.A001104CV101_Spänning_FB.In
;A001004FQ101;Ammoniumvatten;0;5;m³/h; Applications.UC03_Försed.Programs.Ammonium_Nitrat_Ventil.A001004FQ101; Applications.UC03_Försed.Programs.Ammonium_Nitrat_Ventil.A001004FQ101.In
;A001004FQ102;Nitratvatten;0;5;m³/h; Applications.UC03_Försed.Programs.Ammonium_Nitrat_Ventil.A001004FQ102; Applications.UC03_Försed.Programs.Ammonium_Nitrat_Ventil.A001004FQ102.In
;A001004FQ103;Nitratvatten test;0;5;m3/h; Applications.UC03_Försed.Programs.Ammonium_Nitrat_Ventil.A001004FQ103; Applications.UC03_Försed.Programs.Ammonium_Nitrat_Ventil.A001004FQ103.In
;A001069AQ900;BER RejektProduktion601;0;100;0; Applications.UC06_Slamhantering.Programs.AnalogIn.A001069AQ900; Applications.UC06_Slamhantering.Programs.AnalogIn.A001069AQ900.In
;A001069AQ901;BER RejektProduktion602;0;100;0; Applications.UC06_Slamhantering.Programs.AnalogIn.A001069AQ901; Applications.UC06_Slamhantering.Programs.AnalogIn.A001069AQ901.In
;A001610FI602;0;0;400;m3/h; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610FI602; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610FI602.In
x;A001610FQ610;GMM-610 Gasmängd beräknad;0;500;m³/h; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610FQ610; Applications.UC06_Slamhantering.Programs.AnalogIn.A001610FQ610.In
;A001608PU602_VLT;Spänning;0;500;V; Applications.UC06_Slamhantering.Programs.Slamcentrifuger.A001608PU602_VLT; Applications.UC06_Slamhantering.Programs.Slamcentrifuger.A001608PU602_VLT.In
;A001209PB201;Blåsmaskin 201;0;100;0; Applications.UC13_Blåsmaskin.Programs.Blåsmaskiner.A001209PB201.A001209PB201; Applications.UC13_Blåsmaskin.Programs.Blåsmaskiner.A001209PB201.A001209PB201.In
;A001209PB202;Blåsmaskin 202;0;100;0; Applications.UC13_Blåsmaskin.Programs.Blåsmaskiner.A001209PB202.A001209PB202; Applications.UC13_Blåsmaskin.Programs.Blåsmaskiner.A001209PB202.A001209PB202.In
;A001209PB203;Blåsmaskin 203;0;100;0; Applications.UC13_Blåsmaskin.Programs.Blåsmaskiner.A001209PB203.A001209PB203; Applications.UC13_Blåsmaskin.Programs.Blåsmaskiner.A001209PB203.A001209PB203.In
;A001209PB204;Blåsmaskin 204;0;100;0; Applications.UC13_Blåsmaskin.Programs.Blåsmaskiner.A001209PB204.A001209PB204; Applications.UC13_Blåsmaskin.Programs.Blåsmaskiner.A001209PB204.A001209PB204.In
x;A001209FQ200;Totalt beräknat flöde;0;24000;m³/h; Applications.UC13_Blåsmaskin.Programs.Blåsmaskiner.A001209FQ200; Applications.UC13_Blåsmaskin.Programs.Blåsmaskiner.A001209FQ200.In
x;A001059AQ904;BM200.Totaleffekt;0;100;0; Applications.UC13_Blåsmaskin.Programs.Blåsmaskiner.A001059AQ904; Applications.UC13_Blåsmaskin.Programs.Blåsmaskiner.A001059AQ904.In
;A004009VQ001_MV;WC-tank 1 volym;0;25;m³; Applications.UC17_MungaBDTApp.Programs.Allmänt.A004009VQ001; Applications.UC17_MungaBDTApp.Programs.Allmänt.A004009VQ001.In
;A004009VQ002_MV;WC-tank 2 volym;0;25;m³; Applications.UC17_MungaBDTApp.Programs.Allmänt.A004009VQ002; Applications.UC17_MungaBDTApp.Programs.Allmänt.A004009VQ002.In
